Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
2021-09-17,101,V,Cincinnati,3,10,3,14,30,46,43.5,220,23.5
2021-09-17,102,H,Cleveland,7,14,7,7,35,7.5,6,-260,0.5
2021-09-20,261,V,LARams,14,7,3,13,37,48.5,46,110,23.5
2021-09-20,262,H,Philadelphia,3,13,0,3,19,3.5,2,-130,0.5
2021-09-20,263,V,Carolina,0,0,7,10,17,48.5,47,320,21
2021-09-20,264,H,TampaBay,14,7,0,10,31,8,8,-380,2.5
2021-09-20,265,V,Denver,0,3,11,7,21,43,41,250,18.5
2021-09-20,266,H,Pittsburgh,7,10,0,9,26,5.5,6.5,-300,3.5
2021-09-20,267,V,Atlanta,20,9,0,10,39,50,53.5,120,27.5
2021-09-20,268,H,Dallas,0,10,14,16,40,7,2.5,-140,6.5
2021-09-20,269,V,SanFrancisco,7,14,3,7,31,6,7,-335,2.5
2021-09-20,270,H,NYJets,3,0,3,7,13,43.5,41.5,275,19
2021-09-20,271,V,Buffalo,7,10,0,14,31,3.5,5.5,-240,1.5
2021-09-20,272,H,Miami,7,3,3,15,28,43,42.5,200,22
2021-09-20,273,V,Minnesota,3,0,0,8,11,46,49,160,0.5
2021-09-20,274,H,Indianapolis,0,15,3,10,28,2.5,3.5,-180,23
2021-09-20,275,V,Detroit,14,0,0,7,21,46,51,250,26.5
2021-09-20,276,H,GreenBay,3,14,17,8,42,6,6.5,-300,3.5
2021-09-20,277,V,NYGiants,0,0,3,10,13,43,43,190,pk
2021-09-20,278,H,Chicago,10,7,0,0,17,5.5,4.5,-220,pk
2021-09-20,279,V,Jacksonville,7,3,7,13,30,4,45,260,22.5
2021-09-20,280,H,Tennessee,14,10,6,3,33,11,7,-310,0.5
2021-09-20,281,V,Washington,0,0,3,12,15,46.5,46.5,270,21
2021-09-20,282,H,Arizona,14,6,0,10,30,6,7,-330,3
2021-09-20,283,V,Baltimore,3,17,3,10,33,5.5,7.5,-350,3
2021-09-20,284,H,Houston,0,10,0,6,16,53.5,49,290,24
2021-09-20,285,V,KansasCity,0,6,3,11,23,6.5,8.5,-420,9.5
2021-09-20,286,H,LAChargers,7,7,3,3,20,50.5,47.5,350,24.5
2021-09-20,287,V,NewEngland,7,7,3,13,30,44,45,180,23
2021-09-20,288,H,Seattle,7,7,14,7,35,3,4.5,-210,3
2021-09-21,289,V,NewOrleans,10,7,0,7,24,4.5,3.5,-200,3
2021-09-21,290,H,LasVegas,0,17,7,10,34,50.5,47,175,24.5
2021-09-24,301,V,Miami,14,7,7,3,31,44,49,120,24.5
2021-09-24,302,H,Jacksonville,0,7,0,6,13,1.5,2.5,-140,6.5
2021-09-27,461,V,LasVegas,3,7,0,10,20,48,47,270,23
2021-09-27,462,H,NewEngland,0,13,10,13,36,3.5,7,-330,2.5
2021-09-27,463,V,LARams,0,3,14,15,32,44.5,46.5,110,3.5
2021-09-27,464,H,Buffalo,7,14,7,7,35,3,2,-130,23
2021-09-27,465,V,Houston,7,14,0,0,21,45,46.5,170,24
2021-09-27,466,H,Pittsburgh,3,14,3,8,28,5.5,3.5,-190,2.5
2021-09-27,467,V,SanFrancisco,6,10,7,13,36,6.5,3,-160,21.5
2021-09-27,468,H,NYGiants,0,6,3,0,9,42.5,44,140,0.5
2021-09-27,469,V,Tennessee,6,3,16,6,31,1,2.5,-150,3
2021-09-27,470,H,Minnesota,7,10,7,6,30,45.5,49,130,24.5
2021-09-27,471,V,Washington,7,0,13,0,20,45.5,45,270,22.5
2021-09-27,472,H,Cleveland,0,17,0,17,34,4,7,-330,0.5
2021-09-27,473,V,Cincinnati,0,10,7,6,23,45.5,47,200,23
2021-09-27,474,H,Philadelphia,0,13,3,7,23,5.5,5.5,-240,3
2021-09-27,475,V,Chicago,3,7,0,20,30,48,46.5,120,0.5
2021-09-27,476,H,Atlanta,6,10,10,0,26,3,2.5,-140,23.5
2021-09-27,477,V,NYJets,7,0,0,0,7,45,44,500,21
2021-09-27,478,H,Indianapolis,7,10,14,5,36,6.5,11.5,-700,4.5
2021-09-27,479,V,Carolina,6,12,0,3,21,44,43.5,230,21.5
2021-09-27,480,H,LAChargers,0,7,3,6,16,6,6,-270,6.5
2021-09-27,481,V,Detroit,3,14,3,6,26,51,55.5,200,28
2021-09-27,482,H,Arizona,7,6,10,0,23,3.5,5,-240,6
2021-09-27,483,V,TampaBay,10,13,5,0,28,3.5,6,-265,3
2021-09-27,484,H,Denver,0,10,0,0,10,44.5,42.5,225,20.5
2021-09-27,485,V,Dallas,9,6,7,9,31,56,56.5,200,0.5
2021-09-27,486,H,Seattle,9,14,7,8,38,3,5.5,-240,28.5
2021-09-27,487,V,GreenBay,3,10,14,10,37,54.5,52,155,0.5
2021-09-27,488,H,NewOrleans,7,10,10,3,30,4.5,3.5,-175,26.5
2021-09-28,489,V,KansasCity,6,21,0,7,34,52,55,160,27.5
2021-09-28,490,H,Baltimore,3,7,3,7,20,1.5,3.5,-180,4
2021-10-01,101,V,Denver,3,14,7,13,37,2,41,-105,21
2021-10-01,102,H,NYJets,7,6,3,12,28,41,1,-115,0.5
2021-10-04,251,V,Indianapolis,7,6,3,3,19,1,3.5,-185,pk
2021-10-04,252,H,Chicago,0,3,0,8,11,45,43,165,pk
2021-10-04,253,V,NewOrleans,7,21,7,0,35,5.5,3,-160,27
2021-10-04,254,H,Detroit,14,0,7,8,29,56,52.5,140,0.5
2021-10-04,255,V,Arizona,0,7,7,7,21,4,3,-165,6
2021-10-04,256,H,Carolina,14,7,7,3,31,51,52,145,27
2021-10-04,257,V,Jacksonville,7,6,0,12,25,48,49,100,26
2021-10-04,258,H,Cincinnati,3,7,17,6,33,3,1,-120,0.5
2021-10-04,259,V,Cleveland,7,24,10,8,49,54,56.5,155,29.5
2021-10-04,260,H,Dallas,14,0,0,24,38,5.5,3.5,-175,7
2021-10-04,261,V,Minnesota,7,10,7,7,31,49.5,52.5,150,26.5
2021-10-04,262,H,Houston,0,6,10,7,23,3,3.5,-170,3
2021-10-04,263,V,Seattle,10,7,0,14,31,7,4,-210,0.5
2021-10-04,264,H,Miami,3,6,3,11,23,54,55,180,27
2021-10-04,265,V,LAChargers,14,10,7,0,31,45.5,42,300,23
2021-10-04,266,H,TampaBay,7,7,14,10,38,5,7,-360,7
2021-10-04,269,V,Baltimore,7,14,7,3,31,13,14,-1400,6.5
2021-10-04,270,H,Washington,0,10,0,7,17,47,44.5,800,21.5
2021-10-04,271,V,NYGiants,0,6,0,3,9,47,50,700,23.5
2021-10-04,272,H,LARams,7,3,0,7,17,10,13.5,-1100,7
2021-10-04,275,V,Buffalo,7,10,0,13,30,1.5,3,-170,pk
2021-10-04,276,H,LasVegas,3,10,3,7,23,49.5,52.5,150,pk
2021-10-04,277,V,Philadelphia,8,0,3,14,25,45.5,45.5,270,22.5
2021-10-04,278,H,SanFrancisco,7,0,7,6,20,5.5,8,-330,4.5
2021-10-05,279,V,Atlanta,0,3,6,7,16,58,56.5,190,26.5
2021-10-05,280,H,GreenBay,7,13,7,3,30,6,5,-220,0.5
2021-10-05,281,V,NewEngland,0,3,0,7,10,50,48.5,475,24
2021-10-05,282,H,KansasCity,6,0,7,13,26,11.5,11.5,-650,4.5
2021-10-08,301,V,TampaBay,10,3,3,3,19,3,3.5,-190,2.5
2021-10-08,302,H,Chicago,0,14,0,6,20,45.5,44,170,22.5
2021-10-11,451,V,Carolina,3,17,0,3,23,54.5,54,130,26.5
2021-10-11,452,H,Atlanta,7,0,3,6,16,3.5,2.5,-150,4.5
2021-10-11,453,V,LVRaiders,3,21,0,16,40,58,54.5,425,28.5
2021-10-11,454,H,KCChiefs,7,17,0,8,32,11.5,10.5,-550,6
2021-10-11,457,V,LARams,6,14,3,7,30,9.5,7,-330,3
2021-10-11,458,H,Washington,7,3,0,0,10,46,44.5,270,21
2021-10-11,459,V,Jacksonville,0,7,0,7,14,52.5,54.5,220,27
2021-10-11,460,H,Houston,0,10,3,17,30,6.5,6,-260,2.5
2021-10-11,463,V,Arizona,7,10,7,6,30,8.5,7,-320,3
2021-10-11,464,H,NYJets,0,3,7,0,10,46,48.5,265,21.5
2021-10-11,465,V,Philadelphia,7,7,8,7,29,46.5,44.5,300,21.5
2021-10-11,466,H,Pittsburgh,7,10,14,7,38,7,7.5,-360,3.5
2021-10-11,467,V,Cincinnati,0,0,0,3,3,50.5,49.5,525,20.5
2021-10-11,468,H,Baltimore,10,7,3,7,27,13,12.5,-750,5.5
2021-10-11,469,V,Miami,14,16,7,6,43,48.5,50.5,310,24.5
2021-10-11,470,H,SanFrancisco,0,7,10,0,17,9,8,-370,7
2021-10-11,471,V,NYGiants,14,6,3,11,34,53,52.5,280,26.5
2021-10-11,472,H,Dallas,3,21,7,6,37,11.5,7.5,-340,3.5
2021-10-11,473,V,Indianapolis,7,3,10,3,23,2.5,48.5,100,3.5
2021-10-11,474,H,Cleveland,3,17,7,5,32,47,1,-120,24.5
2021-10-11,475,V,Minnesota,7,6,6,7,26,58,54,245,26
2021-10-11,476,H,Seattle,0,0,21,6,27,9.5,6.5,-290,7
2021-10-12,477,V,LAChargers,6,14,0,7,27,52,49,275,24.5
2021-10-12,478,H,NewOrleans,3,7,3,14,30,7.5,7,-335,7
2021-10-13,481,V,Buffalo,7,3,0,6,16,2,3,-160,4.5
2021-10-13,482,H,Tennessee,7,14,7,14,42,54,52,140,27
2021-10-18,251,V,Chicago,7,6,7,3,23,44.5,45,110,22
2021-10-18,252,H,Carolina,3,3,0,10,16,2.5,2,-130,1.5
2021-10-18,253,V,Detroit,7,10,7,10,34,1.5,3,-165,24.5
2021-10-18,254,H,Jacksonville,3,0,7,6,16,53.5,53,145,1.5
2021-10-18,255,V,Atlanta,10,10,10,10,40,57,53.5,160,26
2021-10-18,256,H,Minnesota,0,0,7,16,23,3.5,3.5,-180,6
2021-10-18,257,V,Houston,0,10,13,13,36,55,52.5,170,3
2021-10-18,258,H,Tennessee,14,7,0,15,42,3,3.5,-190,25.5
2021-10-18,259,V,Washington,0,10,0,9,19,44.5,42,-105,pk
2021-10-18,260,H,NYGiants,10,3,0,7,20,2.5,1,-115,pk
2021-10-18,261,V,Cleveland,0,7,0,0,7,50.5,50,145,2.5
2021-10-18,262,H,Pittsburgh,10,14,7,7,38,4,3,-165,23.5
2021-10-18,263,V,Baltimore,14,3,7,6,30,7,10,-500,3.5
2021-10-18,264,H,Philadelphia,0,0,6,22,28,48.5,46.5,400,20.5
2021-10-18,265,V,Cincinnati,14,10,3,0,27,46.5,46,310,24.5
2021-10-18,266,H,Indianapolis,0,21,0,10,31,7.5,7.5,-370,6
2021-10-18,271,V,GreenBay,10,0,0,0,10,51.5,2.5,-155,6.5
2021-10-18,272,H,TampaBay,0,28,10,0,38,2.5,55,135,27
2021-10-18,273,V,LARams,0,6,3,7,16,49,2,-130,6
2021-10-18,274,H,SanFrancisco,7,14,0,3,24,3,51,110,27
2021-10-18,279,V,NYJets,0,0,0,0,0,50,46.5,320,20
2021-10-18,280,H,Miami,7,14,3,0,24,9,9,-380,3.5
2021-10-18,281,V,Denver,6,6,6,0,18,46.5,44,300,21.5
2021-10-18,282,H,NewEngland,0,3,0,9,12,9.5,7.5,-360,6
2021-10-19,275,V,Arizona,0,21,7,10,38,52,56,100,27
2021-10-19,276,H,Dallas,0,3,0,7,10,3,1.5,-120,4.5
2021-10-19,277,V,KansasCity,7,6,7,6,26,3.5,5.5,-240,3
2021-10-19,278,H,Buffalo,3,7,0,7,17,58,54.5,200,26.5
2021-10-22,303,V,NYGiants,7,0,7,7,21,45.5,44.5,200,21.5
2021-10-22,304,H,Philadelphia,7,3,0,12,22,6.5,5,-240,0.5
2021-10-25,451,V,Cleveland,3,7,7,20,37,4.5,4.5,-215,4
2021-10-25,452,H,Cincinnati,7,10,3,14,34,51.5,49.5,185,24.5
2021-10-25,453,V,Dallas,3,0,0,0,3,3,44.5,-105,3
2021-10-25,454,H,Washington,9,13,0,3,25,48,1.5,-115,21.5
2021-10-25,457,V,Detroit,7,3,3,10,23,56.5,55,100,2.5
2021-10-25,458,H,Atlanta,0,14,0,8,22,2,1,-120,27.5
2021-10-25,461,V,Carolina,3,14,7,0,24,51,50.5,275,26.5
2021-10-25,462,H,NewOrleans,7,14,3,3,27,6.5,7,-335,2.5
2021-10-25,463,V,Buffalo,0,6,6,6,18,9.5,9.5,-450,7
2021-10-25,464,H,NYJets,3,7,0,0,10,47,46.5,375,23.5
2021-10-25,465,V,GreenBay,7,14,7,7,35,3.5,3,-150,26.5
2021-10-25,466,H,Houston,0,0,7,13,20,55.5,55.5,130,3
2021-10-25,467,V,Seattle,10,17,0,7,34,3.5,3.5,-180,28.5
2021-10-25,468,H,Arizona,7,10,7,10,37,56,55.5,160,2.5
2021-10-25,469,V,SanFrancisco,7,16,7,3,33,46,44.5,130,20.5
2021-10-25,470,H,NewEngland,0,3,3,0,6,5,3,-150,3
2021-10-25,471,V,KansasCity,10,14,6,13,43,9.5,7,-340,3
2021-10-25,472,H,Denver,6,3,0,7,16,49,45.5,280,21.5
2021-10-25,473,V,TampaBay,7,14,3,21,45,2,4,-200,26
2021-10-25,474,H,LasVegas,7,3,7,3,20,54,51.5,175,1.5
2021-10-25,477,V,Pittsburgh,7,17,3,0,27,51,51,100,24
2021-10-25,478,H,Tennessee,0,7,10,7,24,7,1,-120,3.5
2021-10-25,479,V,Jacksonville,0,14,15,0,29,49,49,320,24
2021-10-25,480,H,LAChargers,9,7,20,3,39,6.5,7.5,-380,4
2021-10-26,475,V,Chicago,0,3,0,7,10,47,44.5,240,21
2021-10-26,476,H,LARams,7,3,14,0,24,6.5,6.5,-280,3
2021-10-29,101,V,Atlanta,6,10,3,6,25,51.5,52,105,26.5
2021-10-29,102,H,Carolina,7,7,3,0,17,3,1.5,-125,2
2021-11-01,251,V,Indianapolis,0,20,0,21,41,3,3.5,-190,24
2021-11-01,252,H,Detroit,7,0,7,7,21,51,49,170,2.5
2021-11-01,253,V,Minnesota,7,7,14,0,28,56,48,220,24
2021-11-01,254,H,GreenBay,7,7,0,8,22,5.5,6,-260,3
2021-11-01,255,V,NewEngland,0,6,8,7,21,46,41,185,20
2021-11-01,256,H,Buffalo,7,0,7,10,24,3,4.5,-215,2.5
2021-11-01,257,V,Tennessee,0,7,0,13,20,4,7,-350,7
2021-11-01,258,H,Cincinnati,3,14,0,14,31,54.5,49,290,25.5
2021-11-01,259,V,LasVegas,0,6,0,10,16,55.5,47.5,-105,20
2021-11-01,260,H,Cleveland,0,3,3,0,6,3,1,-115,0.5
2021-11-01,261,V,NYJets,3,6,0,0,9,47.5,49,1500,24
2021-11-01,262,H,KansasCity,14,7,7,7,35,21,19.5,-5000,7
2021-11-01,263,V,LARams,7,3,0,7,17,3.5,3.5,-170,7
2021-11-01,264,H,Miami,7,21,0,0,28,47,46.5,150,22.5
2021-11-01,267,V,NewOrleans,3,7,6,7,26,2.5,5.5,-250,3
2021-11-01,268,H,Chicago,3,10,0,10,23,46.5,41,210,20.5
2021-11-01,269,V,SanFrancisco,0,7,0,20,27,54,54.5,100,2.5
2021-11-01,270,H,Seattle,6,7,14,10,37,5,1,-120,27
2021-11-01,271,V,Dallas,3,6,0,0,9,43,43.5,375,20.5
2021-11-01,272,H,Philadelphia,7,0,8,8,23,4,10,-450,7
2021-11-01,275,V,LAChargers,0,14,10,6,30,44.5,3,-145,0.5
2021-11-01,276,H,Denver,3,0,7,21,31,pk,44.5,125,21
2021-11-01,281,V,Pittsburgh,7,0,14,7,28,48,44.5,175,0.5
2021-11-01,282,H,Baltimore,7,10,0,7,24,5,4,-200,21
2021-11-02,273,V,TampaBay,3,3,9,10,25,9.5,12.5,-750,9.5
2021-11-02,274,H,NYGiants,7,7,3,6,23,47.5,46.5,525,24.5
2021-11-05,301,V,GreenBay,7,14,10,3,34,pk,6,-260,0.5
2021-11-05,302,H,SanFrancisco,3,0,0,14,17,50.5,48,220,22.5
2021-11-08,451,V,Seattle,0,10,10,14,34,1.5,3,-165,7
2021-11-08,452,H,Buffalo,14,10,3,17,44,55.5,55,145,30.5
2021-11-08,453,V,Denver,0,3,3,21,27,47,50.5,180,2.5
2021-11-08,454,H,Atlanta,10,10,7,7,34,4,4,-210,24
2021-11-08,455,V,Chicago,0,0,0,17,17,46,47,235,20.5
2021-11-08,456,H,Tennessee,3,7,7,7,24,6.5,6,-275,0.5
2021-11-08,457,V,Detroit,0,10,0,10,20,56,51.5,155,0.5
2021-11-08,458,H,Minnesota,13,7,7,7,34,2,3.5,-175,24.5
2021-11-08,459,V,Baltimore,7,0,7,10,24,4,48,-105,0.5
2021-11-08,460,H,Indianapolis,7,3,0,0,10,44,1,-115,22.5
2021-11-08,461,V,Carolina,7,10,0,14,31,49,51.5,400,27.5
2021-11-08,462,H,Kansas,3,10,7,13,33,10,10,-500,7
2021-11-08,463,V,Houston,10,10,7,0,27,4,6.5,-300,3
2021-11-08,464,H,Jacksonville,7,9,3,6,25,56,48,250,25.5
2021-11-08,465,V,NYGiants,10,10,3,0,23,41.5,43,140,21
2021-11-08,466,H,Washington,0,3,7,10,20,3.5,3,-160,3
2021-11-08,467,V,LasVegas,7,7,14,3,31,56,1,-120,0.5
2021-11-08,468,H,LAChargers,0,17,3,6,26,3,52.5,100,26.5
2021-11-08,469,V,Pittsburgh,0,9,0,15,24,13.5,14.5,-1200,7
2021-11-08,470,H,Dallas,3,10,6,0,19,41.5,44,750,21.5
2021-11-08,471,V,Miami,14,10,0,10,34,46.5,49,220,28
2021-11-08,472,H,Arizona,7,10,14,0,31,6,6,-260,6
2021-11-08,473,V,NewOrleans,14,17,0,7,38,56,51,155,23
2021-11-08,474,H,Tampa,0,0,0,3,3,4.5,3,-175,4.5
2021-11-09,475,V,NewEngland,7,3,7,13,30,7,8.5,-380,7.5
2021-11-09,476,H,NYJets,3,17,7,0,27,41.5,42,320,23
2021-11-12,121,V,Indianapolis,3,10,14,7,34,50.5,1.5,-125,2.5
2021-11-12,122,H,Tennessee,7,10,0,0,17,1,49,105,26
2021-11-15,251,V,Cincinnati,0,7,0,3,10,49,45.5,260,21.5
2021-11-15,252,H,Pittsburgh,12,10,7,7,36,10.5,6.5,-310,1
2021-11-15,253,V,Washington,3,0,7,17,27,46.5,45.5,120,1
2021-11-15,254,H,Detroit,7,10,7,6,30,3.5,2.5,-140,22
2021-11-15,255,V,Houston,0,0,0,7,7,55.5,46,190,20
2021-11-15,256,H,Cleveland,3,0,0,7,10,2,4.5,-220,0.5
2021-11-15,257,V,Jacksonville,3,7,7,3,20,55.5,47,700,22.5
2021-11-15,258,H,GreenBay,0,17,0,7,24,14,13.5,-1100,6.5
2021-11-15,259,V,Philadelphia,3,0,14,0,17,3,4.5,-220,6
2021-11-15,260,H,NYGiants,7,7,7,6,27,41,46,190,23.5
2021-11-15,261,V,TampaBay,7,10,12,17,46,6.5,6,-265,3.5
2021-11-15,262,H,Carolina,14,3,0,6,23,47,49.5,225,26.5
2021-11-15,265,V,Denver,3,3,0,6,12,51,50.5,165,24.5
2021-11-15,266,H,LasVegas,7,3,10,17,37,4,3.5,-185,1
2021-11-15,267,V,Buffalo,7,9,7,7,30,49,56,135,27.5
2021-11-15,268,H,Arizona,3,6,17,6,32,3,3,-155,3
2021-11-15,269,V,Seattle,7,6,0,3,16,53.5,55,130,1
2021-11-15,270,H,LARams,10,7,6,0,23,1,2.5,-150,28
2021-11-15,271,V,SanFrancisco,7,3,0,3,13,53.5,49,350,23.5
2021-11-15,272,H,NewOrleans,0,17,0,10,27,6.5,9.5,-420,3
2021-11-15,273,V,Baltimore,0,10,7,0,17,7,7,-320,4.5
2021-11-15,274,H,NewEngland,0,13,10,0,23,40,44,265,21.5
2021-11-15,277,V,LAChargers,0,7,7,7,21,47,49,105,3
2021-11-15,278,H,Miami,14,3,3,9,29,2,1.5,-125,24
2021-11-16,275,V,Minnesota,7,0,6,6,19,2.5,3,-170,1.5
2021-11-16,276,H,Chicago,3,3,7,0,13,45,44.5,150,21.5
2021-11-19,321,V,Arizona,0,7,7,7,21,59,56.5,145,2
2021-11-19,322,H,Seattle,7,9,7,5,28,5,3,-165,28
2021-11-22,451,V,Philadelphia,0,0,7,10,17,47,45.5,115,1
2021-11-22,452,H,Cleveland,0,7,5,10,22,2,2.5,-135,21
2021-11-22,453,V,Atlanta,3,6,0,0,9,51.5,49.5,160,24
2021-11-22,454,H,NewOrleans,3,7,7,7,24,7,3.5,-180,2
2021-11-22,455,V,Detroit,0,0,0,0,0,47,3,-170,3.5
2021-11-22,456,H,Carolina,7,0,10,3,20,3,47.5,150,23
2021-11-22,457,V,NewEngland,7,3,7,3,20,2.5,2.5,-145,4
2021-11-22,458,H,Houston,7,14,3,3,27,47,49.5,125,24.5
2021-11-22,459,V,Pittsburgh,0,17,0,10,27,9.5,10.5,-550,4.5
2021-11-22,460,H,Jacksonville,3,0,0,0,3,46,47.5,425,23.5
2021-11-22,461,V,GreenBay,7,21,0,3,31,50,52,100,27
2021-11-22,462,H,Indianapolis,7,7,11,6,34,2,1.5,-120,4.5
2021-11-22,463,V,Cincinnati,0,9,0,0,9,46,47.5,105,pk
2021-11-22,464,H,Washington,7,0,10,3,20,pk,1.5,-125,24
2021-11-22,465,V,Tennessee,7,3,3,11,30,47,50.5,210,24
2021-11-22,466,H,Baltimore,3,11,7,3,24,6.5,6,-250,2.5
2021-11-22,469,V,Dallas,6,10,0,15,31,47,50,260,26.5
2021-11-22,470,H,Minnesota,7,0,7,14,28,9.5,7,-310,7.5
2021-11-22,471,V,KansasCity,7,7,7,14,35,7,8,-380,6.5
2021-11-22,472,H,LasVegas,14,3,0,14,31,58,56.5,320,31
2021-11-22,475,V,Miami,7,3,0,3,13,1,4,-210,3
2021-11-22,476,H,Denver,7,6,7,0,20,46.5,46,180,22.5
2021-11-22,477,V,NYJets,6,0,13,9,28,47,47.5,400,21.5
2021-11-22,478,H,LAChargers,7,17,7,3,34,10,9.5,-500,3
2021-11-23,473,V,LARams,7,10,7,3,27,49,47.5,180,24.5
2021-11-23,474,H,TampaBay,0,14,3,7,24,3,4.5,-210,3.5
2021-11-26,121,V,Houston,13,10,3,15,41,2,3,-160,27
2021-11-26,122,H,Detroit,7,7,3,8,25,52,52,140,2.5
2021-11-26,123,V,Washington,7,10,3,21,41,47,46,125,27
2021-11-26,124,H,Dallas,3,10,3,0,16,2,2.5,-145,2.5
2021-11-29,251,V,LasVegas,0,3,3,0,6,pk,3.5,-175,6.5
2021-11-29,252,H,Atlanta,6,10,14,13,43,56,53,155,26
2021-11-29,253,V,Arizona,10,0,0,7,17,1,1,-120,pk
2021-11-29,254,H,NewEngland,0,7,10,3,20,48,50.5,100,24
2021-11-29,255,V,NYGiants,7,3,3,6,19,45,6.5,-280,3.5
2021-11-29,256,H,Cincinnati,7,3,0,7,17,2.5,45,240,22.5
2021-11-29,257,V,Cleveland,7,10,3,7,27,6,7.5,-350,3.5
2021-11-29,258,H,Jacksonville,3,10,6,6,25,47,48,290,24
2021-11-29,259,V,Carolina,0,7,14,6,27,50,50,125,23.5
2021-11-29,260,H,Minnesota,7,3,0,18,28,3.5,3,-145,pk
2021-11-29,261,V,Tennessee,14,21,3,7,45,50,51,125,24.5
2021-11-29,262,H,Indianapolis,7,7,0,12,26,4,3,-145,4.5
2021-11-29,263,V,LAChargers,6,0,8,3,17,50,51.5,180,pk
2021-11-29,264,H,Buffalo,7,10,7,3,27,6,4,-210,24
2021-11-29,265,V,Miami,3,10,0,7,20,7,7.5,-370,0.5
2021-11-29,266,H,NYJets,3,0,0,0,3,46,46,310,21.5
2021-11-29,267,V,NewOrleans,0,17,7,7,31,5.5,16.5,-1600,8
2021-11-29,268,H,Denver,0,0,3,0,3,46,36.5,900,14.5
2021-11-29,269,V,SanFrancisco,7,0,10,6,23,46.5,44.5,200,21.5
2021-11-29,270,H,LARams,3,0,10,7,20,7,5,-240,3
2021-11-29,271,V,KansasCity,17,3,7,0,27,3,3.5,-170,28
2021-11-29,272,H,TampaBay,0,7,3,14,24,54,56.5,150,2.5
2021-11-29,273,V,Chicago,3,0,0,15,25,44.5,44.5,320,21.5
2021-11-29,274,H,GreenBay,6,21,14,0,41,7.5,7.5,-380,0.5
2021-11-30,275,V,Seattle,0,14,3,6,23,3.5,6.5,-300,2.5
2021-11-30,276,H,Philadelphia,0,6,3,8,17,53,49.5,250,24
2021-12-02,281,V,Baltimore,7,0,0,7,14,41.5,40.5,400,20
2021-12-02,282,H,Pittsburgh,6,6,0,7,19,9.5,10.5,-500,5.5
2021-12-06,451,V,Detroit,6,7,7,14,34,45,44,135,1.5
2021-12-06,452,H,Chicago,9,14,0,7,30,3,3,-155,23.5
2021-12-06,453,V,Cincinnati,7,0,0,0,7,42,43,400,21
2021-12-06,454,H,Miami,0,6,10,3,19,12,10,-500,5
2021-12-06,455,V,Indianapolis,14,10,0,2,26,3,3,-170,pk
2021-12-06,456,H,Houston,10,10,0,0,20,50.5,50.5,150,26
2021-12-06,457,V,Jacksonville,9,0,7,8,24,51,51.5,400,24.5
2021-12-06,458,H,Minnesota,0,6,13,5,27,10.5,10,-500,7
2021-12-06,461,V,LasVegas,7,10,7,7,31,9,7.5,-360,3
